_id,type,properties.id,properties.atribuicao,properties.status,properties.validacao,properties.status_val,properties.obs,properties.area_km2,geometry.type,geometry.coordinates[0][0][0][0],geometry.coordinates[0][0][0][1],geometry.coordinates[0][0][1][0],geometry.coordinates[0][0][1][1],geometry.coordinates[0][0][2][0],geometry.coordinates[0][0][2][1],geometry.coordinates[0][0][3][0],geometry.coordinates[0][0][3][1],geometry.coordinates[0][0][4][0],geometry.coordinates[0][0][4][1],geometry.coordinates[0][0][5][0],geometry.coordinates[0][0][5][1],geometry.coordinates[0][0][6][0],geometry.coordinates[0][0][6][1],geometry.coordinates[0][0][7][0],geometry.coordinates[0][0][7][1],geometry.coordinates[0][0][8][0],geometry.coordinates[0][0][8][1],geometry.coordinates[0][0][9][0],geometry.coordinates[0][0][9][1],geometry.coordinates[0][0][10][0],geometry.coordinates[0][0][10][1],geometry.coordinates[0][0][11][0],geometry.coordinates[0][0][11][1],geometry.coordinates[0][0][12][0],geometry.coordinates[0][0][12][1],geometry.coordinates[0][0][13][0],geometry.coordinates[0][0][13][1],geometry.coordinates[0][0][14][0],geometry.coordinates[0][0][14][1],geometry.coordinates[0][0][15][0],geometry.coordinates[0][0][15][1],geometry.coordinates[0][0][16][0],geometry.coordinates[0][0][16][1],geometry.coordinates[0][0][17][0],geometry.coordinates[0][0][17][1],geometry.coordinates[0][0][18][0],geometry.coordinates[0][0][18][1],geometry.coordinates[0][0][19][0],geometry.coordinates[0][0][19][1],geometry.coordinates[0][0][20][0],geometry.coordinates[0][0][20][1],geometry.coordinates[1][0][0][0],geometry.coordinates[1][0][0][1],geometry.coordinates[1][0][1][0],geometry.coordinates[1][0][1][1],geometry.coordinates[1][0][2][0],geometry.coordinates[1][0][2][1],geometry.coordinates[1][0][3][0],geometry.coordinates[1][0][3][1],geometry.coordinates[1][0][4][0],geometry.coordinates[1][0][4][1],geometry.coordinates[1][0][5][0],geometry.coordinates[1][0][5][1],geometry.coordinates[1][0][6][0],geometry.coordinates[1][0][6][1],geometry.coordinates[1][0][7][0],geometry.coordinates[1][0][7][1],geometry.coordinates[1][0][8][0],geometry.coordinates[1][0][8][1],geometry.coordinates[1][0][9][0],geometry.coordinates[1][0][9][1],geometry.coordinates[1][0][10][0],geometry.coordinates[1][0][10][1],geometry.coordinates[1][0][11][0],geometry.coordinates[1][0][11][1],geometry.coordinates[0][0][21][0],geometry.coordinates[0][0][21][1],geometry.coordinates[0][0][22][0],geometry.coordinates[0][0][22][1],geometry.coordinates[0][0][23][0],geometry.coordinates[0][0][23][1],geometry.coordinates[0][0][24][0],geometry.coordinates[0][0][24][1],geometry.coordinates[0][0][25][0],geometry.coordinates[0][0][25][1],geometry.coordinates[0][0][26][0],geometry.coordinates[0][0][26][1],geometry.coordinates[0][0][27][0],geometry.coordinates[0][0][27][1],geometry.coordinates[0][0][28][0],geometry.coordinates[0][0][28][1],geometry.coordinates[0][0][29][0],geometry.coordinates[0][0][29][1],geometry.coordinates[1][0][12][0],geometry.coordinates[1][0][12][1],geometry.coordinates[1][0][13][0],geometry.coordinates[1][0][13][1],geometry.coordinates[1][0][14][0],geometry.coordinates[1][0][14][1],geometry.coordinates[1][0][15][0],geometry.coordinates[1][0][15][1],geometry.coordinates[1][0][16][0],geometry.coordinates[1][0][16][1],geometry.coordinates[1][0][17][0],geometry.coordinates[1][0][17][1],geometry.coordinates[1][0][18][0],geometry.coordinates[1][0][18][1],geometry.coordinates[1][0][19][0],geometry.coordinates[1][0][19][1],geometry.coordinates[1][0][20][0],geometry.coordinates[1][0][20][1],geometry.coordinates[1][0][21][0],geometry.coordinates[1][0][21][1],data_inicio,data_fim
65f8d5b0c60a8f925ce7a7f9,Feature,1894,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7503101.9862726405,506788.646550982,7503101.9862726405,506788.646550982,7502701.9862726405,506088.646550982,7502701.9862726405,506088.646550982,7503101.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/04/2024,08/04/2024
65f8d5b0c60a8f925ce7a7fa,Feature,1895,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7503501.9862726405,506788.646550982,7503501.9862726405,506788.646550982,7503101.9862726405,506088.646550982,7503101.9862726405,506088.646550982,7503501.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/2024,15/03/2024
65f8d5b0c60a8f925ce7a7fb,Feature,1896,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7500701.9862726405,506788.646550982,7500701.9862726405,506788.646550982,7500301.9862726405,506088.646550982,7500301.9862726405,506088.646550982,7500701.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/04/2024,11/04/2024
65f8d5b0c60a8f925ce7a7fc,Feature,1897,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7501101.9862726405,506788.646550982,7501101.9862726405,506788.646550982,7500701.9862726405,506088.646550982,7500701.9862726405,506088.646550982,7501101.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/03/2024,17/03/2024
65f8d5b0c60a8f925ce7a7fd,Feature,1898,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7501501.9862726405,506788.646550982,7501501.9862726405,506788.646550982,7501101.9862726405,506088.646550982,7501101.9862726405,506088.646550982,7501501.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/03/2024,18/03/2024
65f8d5b0c60a8f925ce7a7fe,Feature,1899,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7501901.9862726405,506788.646550982,7501901.9862726405,506788.646550982,7501501.9862726405,506088.646550982,7501501.9862726405,506088.646550982,7501901.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/03/2024,19/03/2024
65f8d5b0c60a8f925ce7a7ff,Feature,1900,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7499101.9862726405,506788.646550982,7499101.9862726405,506788.646550982,7498701.9862726405,506088.646550982,7498701.9862726405,506088.646550982,7499101.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/03/2024,28/03/2024
65f8d5b0c60a8f925ce7a800,Feature,1901,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7499501.9862726405,506788.646550982,7499501.9862726405,506788.646550982,7499101.9862726405,506088.646550982,7499101.9862726405,506088.646550982,7499501.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/03/2024,03/04/2024
65f8d5b0c60a8f925ce7a801,Feature,1902,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7499901.9862726405,506788.646550982,7499901.9862726405,506788.646550982,7499501.9862726405,506088.646550982,7499501.9862726405,506088.646550982,7499901.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/04/2024,15/04/2024
65f8d5b0c60a8f925ce7a802,Feature,1903,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7500301.9862726405,506788.646550982,7500301.9862726405,506788.646550982,7499901.9862726405,506088.646550982,7499901.9862726405,506088.646550982,7500301.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/04/2024,19/04/2024
